userId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,class
Lukash_Money,0,0,0,0,0.56,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.02,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
mashy2,0.06,0,0,0,0.54,0,0.03,0,0,0,0.26,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
_chellllle,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
cathyca_,0,0,0,0,0,0.06,0,0,0,0.02,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0.02,0.06,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
KINGPIZZ,0,0,0.08,0,0.02,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0.04,0.02,0.01,0.22,0.02,0,0,0,0,0,0,0,0,0,0,0,N
David_Nagy13,0,0,0.03,0,0.21,0,0,0.06,0,0,0.64,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,NN
AREONE27,0,0,0,0,0.12,0.03,0,0.08,0,0,0.05,0.03,0.01,0,0,0,0,0,0,0.59,0,0,0,0,0.02,0,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0,0,N
xdaisy425x,0,0,0.66,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,NN
LokilAQW,0.21,0,0,0,0.21,0.16,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.02,0.17,0,0,0,0,0,0,0,0,0,0,0,NN
Alex_Siber,0.02,0,0.02,0,0.18,0.03,0,0.06,0,0,0.01,0.01,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0.45,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,NN
ettbrowneyes,0,0,0.1,0,0.17,0,0,0.02,0,0.02,0.03,0,0,0,0.06,0,0,0,0,0.16,0,0,0,0,0,0.13,0,0.26,0.03,0,0,0,0,0,0,0,0,0,0,0,NN
wgarrido_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
Savosaurus,0,0,0.19,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.5,0.08,0.11,0.02,0,0,0,0,0,0,0,0,0,0,0,NN
therealCG502,0,0,0.09,0.09,0.25,0,0,0.02,0.02,0,0.43,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,NN
margweston,0,0,0,0,0,0.08,0.01,0,0,0,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.08,0.71,0,0.02,0,0,0,0,0,0,0,0,0,0,0,NN
_Farad,0,0,0.23,0.41,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,NN
rofesta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
Privitheus,0,0,0,0,0,0.03,0,0.35,0,0.02,0,0,0.02,0,0,0,0,0.3,0,0,0,0,0,0,0.03,0.11,0,0.03,0.07,0.02,0,0,0,0,0,0,0,0,0,0,NN
gracianana,0,0,0.18,0.67,0,0,0,0,0,0.08,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
hawaiiianlion,0,0,0.32,0,0.29,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,N
FlockWithFlacko,0,0,0.06,0,0.15,0.01,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
jennamzh,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
ShaeMallory,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
iiFucked_Swagg,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N
_anggithartiwi,0,0,0,0.02,0,0,0,0.46,0.07,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
MerabGro,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
dickclucas,0,0,0.01,0,0.21,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.17,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,NN
syphm1,0,0,0.75,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
Ary_Bacardi,0,0,0.02,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,N
hkky49mi,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
AyyCeci,0,0,0.41,0,0.09,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
SneakerDorian,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
Prosperos_isle,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.08,0,0,0,0.1,0,0.07,0.02,0,0.62,0,0,0,0,0,0,0,0,0,0,0,NN
Rikuninchen,0.02,0,0,0,0.1,0.04,0,0.51,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
K9DoodiePatolr,0,0,0,0,0.11,0.18,0,0.07,0.01,0,0.08,0.05,0,0.02,0.07,0,0,0,0,0.09,0,0,0,0,0.02,0.04,0.22,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,NN
DFK007,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.16,0.24,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,NN
AnaR915,0,0,0.2,0,0.19,0,0,0.37,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,NN
davidsting414,0.04,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.65,0,0,0,0,0,0,0,0,0,0,0,NN
CANNIBOOTY,0,0,0.43,0,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.45,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,NN
FereshtehEmami,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.21,0.1,0.25,0.23,0,0,0,0,0,0,0,0,0,0,0,NN
M4D31YN,0,0,0.33,0,0.48,0,0,0.02,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,NN
_wadem,0,0,0,0,0.06,0.04,0.02,0,0,0,0.06,0,0,0,0.03,0.04,0,0,0,0,0,0,0,0,0.04,0.29,0.03,0,0.36,0,0,0,0,0,0,0,0,0,0,0,NN
mightyreds,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,NN
