class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2,109,0,0,0.72,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.08,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0
2,110,0,0,0.94,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,111,0,0,0.23,0.03,0.07,0.01,0,0.09,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.31,0,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0
26,112,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
26,113,0,0,0,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.61,0,0,0.09,0,0,0,0,0,0,0,0,0,0
26,114,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0
18,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,116,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.22,0,0,0.26,0,0,0,0,0,0,0,0.04,0,0.35,0.1,0,0,0,0,0,0,0,0,0,0,0
24,117,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,118,0.01,0,0.08,0,0.02,0,0,0.58,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.23,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
5,119,0.03,0.01,0,0,0.1,0.16,0,0.13,0,0,0,0.06,0.11,0,0.01,0,0,0.04,0,0,0,0,0,0.01,0.04,0,0.11,0,0.16,0,0,0,0,0,0,0,0,0,0,0
16,120,0,0,0.1,0,0.1,0,0,0.09,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.03,0.23,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0
22,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,122,0,0,0.22,0.42,0.04,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.12,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0
16,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,124,0,0.02,0.02,0,0.68,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,126,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0
2,127,0,0,0.55,0,0.12,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0
27,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0
16,129,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.01,0,0.01,0.76,0,0,0,0,0,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0,0
25,130,0.01,0,0.03,0,0.17,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.62,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
19,131,0,0,0.36,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0
4,132,0.08,0,0,0,0.4,0.07,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.27,0,0,0,0,0,0.03,0.04,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0
9,133,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,134,0,0,0.25,0,0,0,0,0.64,0,0.01,0,0,0,0,0,0,0.05,0,0,0.02,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,135,0,0,0.39,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
27,136,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0
7,137,0.05,0,0.21,0.01,0.08,0,0,0.23,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0.11,0.09,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0
16,138,0,0,0.1,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0,0.74,0.02,0.02,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0
4,139,0,0,0.15,0,0.41,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,141,0,0,0.21,0,0.06,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.35,0.02,0,0,0,0,0,0,0,0,0,0,0
2,142,0,0,0.88,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,143,0.02,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
