class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
21,55,0,0,0,0.24,0.01,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0
21,56,0,0,0,0,0.1,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.4,0.28,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.06,0,0
21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.64,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0
22,58,0,0,0,0.02,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0.82,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
3,59,0,0,0,0.72,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,60,0,0.01,0,0.84,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0.06,0,0,0.01,0,0
42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.02,0,0,0.09,0.01,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0.03,0,0,0,0,0
47,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
4,63,0,0,0,0.2,0.61,0,0,0.09,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0,0.01,0.01,0,0,0.53,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.04,0.04,0.24,0,0,0,0,0
22,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
3,66,0,0,0,0.59,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0
4,67,0,0,0,0.14,0.41,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.15,0.05,0.11,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0
32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.06,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0
46,69,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0.02,0,0.07,0,0.06,0.04,0.44,0,0,0
40,70,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0
10,71,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.02,0.4,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
22,73,0,0,0,0.37,0.13,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,74,0,0,0,0.37,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,75,0,0,0,0,0.38,0,0.01,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0.25,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,76,0,0,0,0.63,0.2,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.02,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,77,0,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,78,0,0,0,0.04,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
26,79,0,0,0,0,0,0.04,0,0,0,0,0,0,0.08,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0.16,0,0,0,0
41,80,0,0,0.11,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0.15,0,0.19,0.15,0,0,0,0,0,0,0.08
22,81,0,0,0,0.18,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
12,82,0,0,0,0,0.05,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.03,0.04,0,0,0,0,0
20,83,0,0,0,0,0,0,0,0,0,0,0,0.01,0.13,0,0,0,0,0.03,0.05,0,0.45,0,0,0,0,0,0.05,0.11,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
44,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0.01,0.23,0,0,0,0,0,0,0,0.02,0,0,0,0.59,0,0,0.01,0,0
29,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,86,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.03,0,0
44,87,0,0,0,0.06,0,0,0,0,0,0,0,0,0.09,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.68,0,0,0,0,0
34,88,0,0,0,0,0.17,0,0,0,0,0.2,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0.04,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,89,0,0,0.01,0.12,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0.03,0,0,0,0,0,0
3,90,0,0,0,0.37,0.02,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.23,0,0,0,0,0
10,91,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0
27,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,93,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.3,0,0,0,0.01,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.05,0.03,0.45,0,0,0,0,0
12,94,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0.07,0,0,0,0,0.23,0.01,0.02,0,0,0,0.07,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.02,0.03,0.15,0,0.02,0,0
4,95,0,0,0,0.3,0.35,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.04,0,0.01,0,0
4,96,0,0,0,0.27,0.59,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0
12,97,0,0,0,0.14,0.1,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0
3,98,0,0.03,0,0.58,0.06,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.02,0.16,0,0,0,0,0
27,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0.57,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.07,0,0.01,0,0
4,100,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,101,0,0,0,0.07,0.18,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.04,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0
44,102,0,0,0,0.06,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.69,0,0,0,0,0
19,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.08,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0
19,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
27,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,106,0,0.02,0,0.15,0.46,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.19,0,0,0,0.02,0,0,0,0,0,0.06,0,0,0,0,0
21,107,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
4,108,0,0,0,0.08,0.45,0.01,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.01,0,0,0,0
4,109,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,110,0,0,0,0.06,0.07,0,0,0,0,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0.42,0.07,0,0,0,0.09,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0.03,0,0,0.09,0,0.03,0,0,0,0
20,111,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
20,112,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0.02,0.25,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
20,113,0,0,0,0,0.05,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0.55,0.07,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,115,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.14,0.47,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.02,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0
