class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,60,0.97,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
0,61,0.71,0,0,0.02,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.02,0,0
16,62,0,0.04,0.07,0,0,0.03,0,0.05,0.04,0.15,0.05,0.16,0.01,0.16,0,0,0.23,0,0,0
17,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
0,64,0.85,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,65,0.01,0,0,0,0,0,0,0,0.02,0.06,0.55,0.04,0,0.32,0,0,0,0,0,0
2,66,0.29,0,0.47,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0.02,0,0,0
0,67,0.93,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
0,68,0.6,0,0,0.22,0,0,0,0,0.05,0,0.09,0,0,0,0,0,0,0.02,0,0
13,69,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.94,0,0,0,0,0,0
18,70,0.04,0,0.03,0,0,0,0,0.11,0,0.12,0.08,0.06,0,0.04,0,0,0,0.02,0.5,0
2,71,0,0.02,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,72,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03
1,73,0,0.57,0,0,0,0,0.24,0.11,0,0,0,0,0.03,0.02,0,0,0,0,0,0
0,74,0.75,0,0,0,0,0,0,0,0.21,0,0,0.03,0,0,0,0,0,0,0,0
0,75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,76,0.35,0.21,0.26,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.01
0,77,0.9,0,0,0.01,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0
0,78,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,79,0.88,0,0,0,0,0,0,0,0.03,0,0.09,0,0,0,0,0,0,0,0,0
7,80,0,0.2,0,0,0,0,0.06,0.36,0.03,0.01,0.04,0.28,0,0,0,0,0.01,0.01,0,0
7,81,0,0,0,0,0.26,0,0.05,0.44,0,0,0,0,0,0,0,0,0.23,0,0,0
0,82,0.43,0,0.2,0.02,0,0,0,0,0.21,0.03,0.1,0,0,0,0,0,0,0,0,0
10,83,0.04,0.17,0,0.01,0,0,0,0,0,0.19,0.44,0.04,0,0,0,0,0,0.09,0,0
7,84,0,0.13,0.04,0.06,0,0,0.02,0.6,0,0.08,0.06,0,0,0,0,0,0,0,0,0
13,85,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0.03,0.89,0,0,0,0.02,0,0
12,86,0,0,0,0,0.01,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0
3,87,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,88,0,0,0,0,0,0,0,0,0,0.97,0.02,0,0,0,0,0,0,0,0,0
11,89,0.3,0,0.22,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0
0,90,0.35,0,0.31,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
9,91,0.32,0,0,0.01,0,0,0,0,0.04,0.55,0.06,0,0,0,0,0,0,0,0,0
18,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0
18,93,0.04,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0.92,0
13,94,0.14,0,0,0,0,0,0,0,0,0.04,0.26,0,0,0.56,0,0,0,0,0,0
7,95,0,0.01,0,0.14,0,0,0,0.28,0.18,0.06,0.17,0.09,0,0.01,0,0,0,0.02,0,0
0,96,0.73,0,0,0,0,0,0,0,0,0.02,0.18,0.01,0,0,0,0.03,0,0.02,0,0
0,97,0.93,0,0,0.02,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
10,98,0.33,0.1,0,0.03,0,0,0.02,0,0,0.05,0.44,0.01,0,0,0,0,0,0,0,0
0,99,0.56,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0.01,0,0,0
2,100,0,0.25,0.66,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.03,0,0
0,101,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102,0.51,0,0,0,0,0,0,0,0.08,0.07,0.33,0,0,0,0,0,0,0,0,0
9,103,0,0,0,0,0,0,0,0,0.01,0.97,0,0,0,0,0,0,0,0,0,0
11,104,0,0.18,0,0.12,0,0.07,0,0,0,0,0,0.49,0,0,0.13,0,0,0,0,0
5,105,0,0,0.18,0,0,0.77,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0
18,106,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.96,0
0,107,0.76,0.03,0,0,0,0.02,0,0,0,0.12,0,0.05,0.02,0,0,0,0,0,0,0
10,108,0.02,0,0,0,0,0,0,0,0.03,0.03,0.88,0.03,0,0,0,0,0,0,0,0
0,109,0.73,0.01,0,0,0,0,0,0.02,0.03,0.04,0.14,0.01,0,0,0,0,0,0,0,0
0,110,0.87,0,0.01,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0
10,111,0.23,0.05,0.07,0,0,0,0,0.01,0.04,0.02,0.5,0.06,0,0,0,0,0,0,0,0
7,112,0,0,0,0.39,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
3,113,0,0.15,0,0.76,0,0,0,0.02,0,0,0,0.03,0.01,0,0,0,0,0,0,0
3,114,0,0.03,0,0.61,0,0,0.02,0.12,0,0,0.18,0.01,0,0,0,0,0,0,0,0
7,115,0,0,0,0,0,0,0,0.98,0,0,0,0.02,0,0,0,0,0,0,0,0
8,116,0,0.02,0,0,0,0,0,0,0.42,0.01,0.35,0.13,0.02,0.03,0,0.01,0,0,0,0
13,117,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.94,0,0,0,0,0,0
8,118,0.13,0,0.1,0.01,0,0,0,0,0.52,0,0.15,0,0.03,0,0,0,0,0.02,0,0
1,119,0,0.21,0,0.02,0.03,0,0.02,0.19,0.16,0.03,0.05,0.07,0.08,0.07,0,0.02,0.02,0.04,0,0
18,120,0.12,0,0,0.06,0,0,0,0.03,0.07,0.01,0.3,0,0,0.03,0,0,0,0,0.36,0
19,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,122,0.22,0.02,0.45,0.02,0,0,0,0.04,0,0,0.09,0.03,0,0.12,0,0,0,0,0,0
18,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
9,124,0.15,0,0,0,0.02,0,0,0,0,0.68,0.12,0,0,0,0,0,0,0,0,0
18,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
3,126,0,0.33,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,127,0.42,0,0.05,0,0,0,0,0,0.17,0,0.36,0,0,0,0,0,0,0,0,0
10,128,0.15,0,0,0,0,0,0,0,0,0,0.55,0,0,0.3,0,0,0,0,0,0
7,129,0,0,0,0,0,0,0,0.68,0.06,0,0,0,0,0,0,0,0.23,0.01,0,0
10,130,0.08,0.12,0,0.21,0,0,0.02,0.02,0,0.12,0.4,0,0,0,0,0,0,0.03,0,0
0,131,0.79,0,0,0.07,0,0,0,0,0,0.07,0.04,0,0.02,0,0,0,0,0,0,0
0,132,0.35,0.07,0,0.04,0,0,0.01,0,0,0.25,0.08,0.02,0.04,0,0,0,0,0.13,0,0
5,133,0,0,0,0,0,0.94,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
8,134,0.27,0,0.05,0,0,0,0,0,0.58,0,0,0.07,0,0,0,0,0,0,0.03,0
0,135,0.73,0,0,0.07,0,0,0,0.01,0,0.18,0,0,0,0,0,0,0,0,0,0
0,136,0.5,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0
0,137,0.25,0,0.09,0,0,0,0,0,0.16,0.04,0.18,0.03,0.02,0.17,0,0,0,0.06,0,0
18,138,0.09,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.75,0
9,139,0.15,0.03,0,0,0,0,0,0.02,0.07,0.34,0.07,0.04,0,0.28,0,0,0,0,0,0
18,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
10,141,0.34,0.18,0,0,0,0,0,0,0,0.01,0.45,0,0,0,0,0,0,0.01,0,0
0,142,0.84,0,0,0,0,0,0,0,0.01,0.01,0.11,0.01,0,0,0,0,0,0,0,0
0,143,0.59,0,0,0,0,0,0,0,0,0.34,0,0,0.06,0,0,0,0,0.01,0,0
0,144,0.55,0.1,0,0.07,0,0,0.06,0.12,0,0,0.1,0,0,0,0,0,0,0,0,0
11,145,0,0,0.04,0,0,0,0,0,0,0.2,0,0.71,0,0,0,0,0,0,0.05,0
0,146,0.68,0,0,0,0,0,0,0,0,0.22,0.09,0,0,0,0,0,0,0,0,0
11,147,0,0,0.02,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0
10,148,0,0.06,0,0,0.01,0,0,0.01,0.06,0,0.65,0.14,0.02,0,0,0,0.03,0,0,0
18,149,0,0.11,0,0,0.01,0,0,0.11,0.07,0.09,0.02,0,0.01,0,0,0.17,0.06,0.08,0.26,0
2,150,0.42,0.01,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,151,0.03,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,152,0.07,0,0,0,0,0,0,0,0.04,0.85,0.01,0,0,0.03,0,0,0,0,0,0
8,153,0.17,0,0.03,0,0,0,0,0,0.39,0.02,0.28,0.03,0.02,0.05,0,0,0,0.02,0,0
0,154,0.83,0,0,0,0,0,0,0,0,0,0.05,0.11,0,0,0,0,0,0,0,0
0,155,0.67,0,0,0,0,0,0,0,0,0.17,0.04,0.01,0,0,0,0,0.06,0,0.05,0
1,156,0,0.34,0.01,0,0,0,0.04,0.18,0.06,0.02,0.19,0,0.03,0,0,0,0.05,0.05,0,0
0,157,0.49,0.01,0,0,0,0,0,0,0,0.11,0.3,0,0,0,0,0,0.01,0.04,0,0
18,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
10,159,0.33,0.04,0.01,0,0,0,0,0,0,0.01,0.6,0,0,0,0,0,0,0,0,0
0,160,0.91,0,0,0.01,0,0,0,0,0.02,0.03,0.01,0,0,0,0,0,0,0,0,0
0,161,0.51,0,0,0.08,0,0,0,0,0.01,0.09,0.27,0.02,0,0,0,0,0,0,0,0
8,162,0,0,0,0,0,0,0,0,0.6,0,0,0.36,0,0,0,0,0,0.03,0,0
0,163,0.92,0,0,0,0,0,0,0,0.02,0,0.04,0.01,0,0,0,0,0,0,0,0
11,164,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
0,165,0.56,0,0,0,0,0,0,0,0.07,0.04,0.22,0.09,0,0,0,0,0,0,0,0
0,166,0.44,0.01,0,0.02,0,0,0,0,0.13,0.29,0.09,0,0,0,0,0,0,0,0,0
19,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
9,168,0.26,0,0.06,0,0,0,0,0,0,0.63,0.03,0,0,0.01,0,0,0,0,0,0
18,169,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0
0,170,0.69,0,0,0,0,0,0,0.03,0.13,0.09,0.02,0,0,0,0,0,0,0,0,0
10,171,0,0.05,0,0.11,0,0,0.02,0.11,0.13,0.05,0.49,0.01,0,0,0,0,0,0,0,0
0,172,0.83,0,0,0,0,0,0,0,0,0.09,0.03,0.01,0.01,0,0,0,0,0,0,0
18,173,0.02,0,0,0,0,0,0,0,0,0.05,0,0,0,0.18,0,0,0,0,0.75,0
13,174,0.08,0,0,0,0,0,0,0,0.02,0.02,0,0.02,0,0.82,0,0,0,0,0.04,0
15,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.57,0,0,0,0
8,176,0.23,0,0.12,0,0,0,0,0,0.46,0.04,0.04,0.03,0,0.01,0,0,0,0.02,0.04,0
0,177,0.95,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0
0,178,0.92,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0
0,179,0.94,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
0,180,0.36,0,0.15,0,0,0,0,0,0,0,0.29,0.19,0,0,0,0,0,0.01,0,0
18,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
0,182,0.61,0,0,0,0,0,0,0,0.02,0.07,0.02,0,0,0,0,0,0,0,0.27,0
0,183,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,184,0.95,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
5,185,0.01,0,0,0.08,0,0.52,0,0,0,0,0.02,0.25,0.03,0,0,0.05,0,0,0.03,0
10,186,0.37,0.01,0,0,0,0,0,0,0,0.09,0.45,0,0,0,0,0,0,0.04,0,0
18,187,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0.9,0
10,188,0.15,0.03,0,0.17,0,0.02,0.01,0.03,0,0.05,0.45,0.02,0,0,0,0,0,0.07,0,0
0,189,0.55,0,0,0,0,0,0,0,0.05,0.05,0.34,0,0,0,0,0,0,0,0,0
0,190,0.69,0,0.02,0,0,0,0,0,0.12,0,0.06,0.05,0,0,0,0,0,0.04,0,0
0,191,0.76,0.06,0.03,0,0,0,0,0,0.08,0,0.05,0,0,0.02,0,0,0,0,0,0
13,192,0.03,0,0,0,0,0,0,0,0,0.04,0.11,0,0,0.8,0,0,0,0,0,0
17,193,0.14,0,0,0,0,0,0,0,0,0.11,0.02,0,0,0,0,0,0,0.73,0,0
16,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
10,195,0.03,0.01,0,0.15,0,0,0,0.06,0,0.03,0.61,0.01,0,0.08,0,0,0,0,0,0
0,196,0.22,0.01,0.11,0.09,0,0.03,0,0.16,0,0.06,0.01,0.15,0.02,0.14,0,0,0,0,0,0
0,197,0.74,0.05,0.07,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0
0,198,0.42,0.14,0,0,0,0,0,0,0.06,0.02,0.33,0,0,0,0,0,0.03,0,0,0
0,199,0.73,0,0,0,0,0,0,0,0.07,0.12,0.03,0.01,0,0,0,0,0,0,0,0
18,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0
18,201,0,0.16,0,0,0,0.02,0,0,0.22,0,0,0.03,0.08,0,0.06,0,0,0,0.41,0
0,202,0.75,0,0,0,0,0,0,0,0,0,0.09,0,0,0.16,0,0,0,0,0,0
9,203,0.12,0,0,0.09,0,0.07,0,0,0,0.41,0.12,0.12,0,0,0,0.03,0,0,0,0
1,204,0.2,0.41,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0.34,0,0
11,205,0.09,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
9,206,0,0,0,0.01,0,0,0,0,0,0.88,0.02,0,0,0.05,0,0,0,0,0,0
13,207,0.04,0,0,0,0,0,0,0.03,0.05,0.02,0.08,0.14,0,0.64,0,0,0,0,0,0
12,208,0,0,0,0,0,0,0,0,0.27,0,0,0,0.44,0,0,0.15,0,0,0,0
7,209,0.11,0,0,0.04,0,0,0.02,0.3,0.09,0,0.21,0.09,0,0,0,0,0,0.11,0.04,0
0,210,0.83,0,0,0,0,0,0,0,0,0.05,0.03,0.09,0,0,0,0,0,0,0,0
0,211,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,212,0,0,0.43,0,0,0.04,0,0.03,0.04,0,0,0.37,0.03,0,0,0,0,0.04,0,0
2,213,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.33,0
0,214,0.5,0.03,0.01,0.01,0,0,0,0,0,0.04,0,0.06,0.01,0.33,0,0,0,0,0,0
0,215,0.95,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
0,216,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,217,0.57,0.03,0,0,0,0,0,0,0.08,0.1,0.19,0,0,0,0,0,0,0,0,0
11,218,0.28,0,0,0,0,0,0,0,0,0.07,0,0.65,0,0,0,0,0,0,0,0
10,219,0.28,0,0,0,0,0,0,0,0.13,0.25,0.31,0.02,0,0,0,0,0,0,0,0
0,220,0.66,0,0,0,0,0,0,0,0.09,0.1,0.13,0,0,0,0,0,0,0,0,0
0,221,0.63,0,0.09,0,0,0,0,0,0.18,0,0.08,0,0,0,0,0,0,0,0,0
0,222,0.95,0,0,0,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0
7,223,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0.06,0,0,0,0,0,0.01
2,224,0,0,0.87,0,0,0.02,0,0,0.04,0,0,0.05,0.01,0,0,0,0,0,0,0
7,225,0,0.04,0,0.03,0,0,0.02,0.78,0.05,0.01,0,0,0.02,0,0,0,0.02,0,0,0
0,226,0.37,0,0.22,0.07,0,0,0.01,0.11,0,0.01,0.15,0,0,0,0,0,0.03,0,0,0
4,227,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,228,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0
0,230,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,231,0,0.17,0,0.13,0,0,0.01,0.05,0,0,0.53,0.09,0,0,0,0,0,0,0,0
15,232,0,0,0.01,0,0,0,0,0,0.33,0.02,0,0.25,0.01,0,0,0.34,0,0.02,0,0
0,233,0.59,0.03,0.02,0.2,0,0,0,0,0.07,0,0.06,0,0,0,0,0,0,0.01,0,0
0,234,0.29,0,0.28,0.2,0,0,0,0,0.16,0,0.02,0,0,0.02,0,0,0,0.02,0.02,0
12,235,0.04,0,0,0,0,0,0,0,0,0.09,0.17,0.02,0.35,0.27,0,0.01,0,0.04,0,0
10,236,0.13,0.02,0,0,0,0,0,0.06,0.07,0.03,0.31,0.23,0,0,0,0,0,0.03,0.1,0
10,237,0,0.01,0,0,0.04,0,0,0.03,0.15,0,0.61,0.08,0,0.05,0,0.01,0,0,0,0
7,238,0,0.04,0,0.06,0,0.03,0,0.45,0.03,0.05,0,0,0,0.02,0,0,0,0.03,0.28,0
0,239,0.94,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0
18,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
10,241,0,0.05,0,0.01,0,0,0,0,0.01,0.05,0.57,0,0.08,0.18,0,0.01,0.02,0,0,0
0,242,0.34,0,0,0.18,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.13,0
0,243,0.66,0.02,0.02,0.05,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0
7,244,0,0.06,0,0,0,0,0,0.86,0,0,0,0,0.03,0,0,0,0,0,0.04,0
19,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,246,0.02,0.27,0.61,0,0,0,0,0,0.03,0,0.01,0,0.03,0,0,0,0,0.01,0,0
0,247,0.84,0.05,0,0.02,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0
9,248,0.05,0,0,0,0.01,0,0,0,0,0.74,0.13,0,0,0.03,0,0,0,0.03,0,0
2,249,0.48,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,250,0,0,0,0,0,0.02,0,0,0.12,0.49,0,0.08,0,0.29,0,0,0,0,0,0
0,251,0.66,0,0,0,0,0,0,0,0.02,0,0.3,0,0,0,0,0,0,0,0,0
19,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,253,0.52,0,0.08,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.11,0
1,254,0,0.87,0,0,0,0,0.12,0.01,0,0,0,0,0,0,0,0,0,0,0,0
2,255,0.02,0.04,0.72,0,0,0,0,0.02,0,0.01,0,0,0,0.16,0,0,0.03,0,0,0
0,256,0.66,0,0.03,0.26,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
10,257,0.12,0.03,0,0.08,0,0,0,0.03,0.04,0.27,0.37,0,0,0,0,0.01,0.01,0.01,0,0
0,258,0.76,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
