class,id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
5,98,0.05,0,0,0,0.16,0.61,0.1,0.06,0,0
7,99,0.2,0,0,0,0.05,0.05,0,0.69,0,0
4,100,0,0.03,0,0.01,0.7,0,0,0,0.25,0
5,101,0,0,0,0,0,0.89,0,0.11,0,0
5,102,0.07,0,0,0,0.04,0.84,0,0.04,0,0
0,103,0.81,0,0,0.01,0.02,0.11,0,0.04,0,0
8,104,0,0,0,0,0.32,0,0.29,0,0.39,0
8,105,0,0,0,0,0,0,0,0,1.0,0
3,106,0,0.01,0,0.84,0,0.05,0,0,0,0.11
7,107,0.02,0,0,0,0.14,0.17,0,0.62,0.04,0
4,108,0.05,0,0,0.07,0.52,0.36,0,0,0,0
5,109,0.04,0,0,0,0.01,0.82,0.03,0.1,0,0
5,110,0,0,0,0,0,0.83,0,0.14,0.02,0
5,111,0,0.02,0,0.03,0.32,0.52,0.03,0.03,0.05,0
6,112,0,0,0,0,0,0,0.95,0,0,0
6,113,0,0,0,0,0.33,0.04,0.63,0,0,0
6,114,0.03,0,0,0.02,0.07,0.28,0.6,0,0,0
9,115,0,0,0,0,0,0,0.04,0,0,0.96
4,116,0,0,0,0.13,0.85,0.01,0,0,0,0
3,117,0.07,0,0,0.87,0,0,0.04,0,0,0
5,118,0.08,0.05,0,0.04,0.3,0.47,0,0,0.05,0
4,119,0.1,0.15,0,0.12,0.33,0,0.25,0,0.02,0.02
3,120,0.05,0.03,0,0.5,0,0.35,0.04,0,0,0.02
2,121,0,0,1.0,0,0,0,0,0,0,0
8,122,0,0,0,0.11,0,0.35,0.04,0.02,0.46,0
9,123,0,0,0,0,0,0,0,0,0,1.0
0,124,0.35,0,0,0,0.32,0.05,0.01,0.26,0,0.01
9,125,0,0,0,0,0,0,0,0,0,1.0
6,126,0,0,0,0,0,0.46,0.48,0,0,0
5,127,0.01,0.03,0,0,0.04,0.92,0,0,0,0
5,128,0,0,0,0.36,0.04,0.53,0,0.07,0,0
6,129,0.04,0.13,0,0,0,0.04,0.78,0,0,0
5,130,0.22,0,0,0,0.12,0.44,0.21,0.01,0,0
7,131,0.03,0,0,0,0.02,0.33,0.03,0.58,0,0
0,132,0.33,0,0,0,0.17,0.1,0.07,0.33,0,0
8,133,0,0,0,0,0,0,0,0,1.0,0
5,134,0,0,0,0,0.37,0.44,0,0.02,0.07,0.09
7,135,0.08,0,0,0,0,0.26,0.05,0.6,0,0
5,136,0,0,0,0.04,0,0.92,0,0.04,0,0
5,137,0.15,0,0,0.16,0.17,0.46,0,0.02,0.03,0
3,138,0,0.08,0,0.77,0,0.07,0,0,0,0.07
5,139,0.3,0,0,0.28,0.03,0.36,0,0.01,0,0.01
9,140,0,0,0,0,0,0,0,0,0,1.0
5,141,0.05,0.03,0,0,0.12,0.74,0.04,0.01,0,0
5,142,0,0,0,0,0,0.95,0,0.03,0,0
7,143,0.16,0,0,0,0,0,0,0.83,0,0
5,144,0.02,0,0,0,0.01,0.71,0.26,0,0,0
9,145,0.18,0,0,0.06,0.03,0.19,0,0,0.19,0.34
5,146,0.13,0,0,0,0,0.67,0,0.2,0,0
8,147,0,0,0,0,0.19,0.03,0,0,0.5,0.28
4,148,0.04,0.01,0,0.02,0.65,0.22,0.06,0,0,0
0,149,0.33,0.24,0,0.03,0.07,0,0.07,0,0,0.25
8,150,0,0,0,0,0,0.39,0,0.06,0.55,0
2,151,0,0,1.0,0,0,0,0,0,0,0
0,152,0.62,0,0,0.06,0.02,0.15,0,0.14,0,0
4,153,0.05,0.02,0,0.08,0.44,0.39,0,0.01,0,0
5,154,0,0,0,0,0.02,0.97,0,0,0,0
7,155,0.08,0.04,0,0,0.03,0.12,0,0.67,0,0.04
6,156,0.15,0.24,0,0,0.25,0.01,0.3,0,0.05,0
5,157,0.18,0.02,0,0,0.04,0.67,0,0.08,0,0
9,158,0,0,0,0,0,0,0,0,0,1.0
5,159,0.04,0,0,0,0.11,0.79,0.04,0.02,0,0
5,160,0,0,0,0,0,0.7,0,0.28,0,0
5,161,0.07,0,0,0,0.03,0.67,0.05,0.17,0,0
4,162,0.05,0,0,0,0.33,0.07,0,0,0.26,0.29
7,163,0,0,0,0,0.04,0.37,0,0.58,0,0
8,164,0,0,0,0,0.22,0.15,0,0,0.34,0.28
4,165,0,0,0,0,0.38,0.27,0,0.35,0,0
5,166,0.19,0,0,0,0.12,0.5,0.02,0.16,0,0
2,167,0,0,1.0,0,0,0,0,0,0,0
0,168,0.39,0,0,0.01,0.04,0.24,0,0.25,0.06,0
9,169,0,0,0,0,0,0.02,0,0.05,0,0.92
7,170,0.09,0,0,0,0.02,0.39,0.03,0.45,0,0
4,171,0.13,0.16,0,0,0.26,0.25,0.19,0,0,0
7,172,0.02,0,0,0,0.07,0.34,0.01,0.55,0,0
3,173,0,0,0,0.93,0,0,0,0.03,0,0.04
3,174,0.08,0,0,0.69,0.02,0.15,0,0.01,0,0.04
4,175,0.01,0.01,0.01,0.38,0.52,0.01,0.01,0.01,0.01,0.01
5,176,0.1,0,0,0.02,0.25,0.41,0,0.05,0.06,0.11
5,177,0,0,0,0,0,0.5,0,0.49,0,0
7,178,0.01,0,0,0,0,0.47,0,0.51,0,0
5,179,0,0,0,0,0,0.56,0,0.41,0.02,0
5,180,0,0,0,0,0.08,0.76,0,0.01,0.11,0.03
9,181,0,0,0,0,0,0,0,0,0,1.0
5,182,0.06,0,0,0,0.02,0.5,0,0.17,0,0.25
7,183,0,0,0,0,0,0.44,0,0.56,0,0
5,184,0,0,0,0,0,0.55,0,0.45,0,0
8,185,0,0.12,0,0,0.06,0,0.09,0,0.73,0
5,186,0.17,0,0,0,0.15,0.58,0,0.08,0,0
9,187,0,0,0,0.05,0,0,0,0,0,0.95
5,188,0.23,0,0,0,0.06,0.52,0.17,0.02,0,0
5,189,0.03,0,0,0,0.06,0.83,0,0.06,0,0
5,190,0.04,0,0,0,0.12,0.72,0,0.11,0,0
5,191,0.06,0,0,0,0,0.82,0,0.1,0,0
3,192,0.05,0,0,0.72,0.08,0.12,0,0.03,0,0
0,193,0.92,0,0,0,0,0,0,0.07,0,0
1,194,0,1.0,0,0,0,0,0,0,0,0
5,195,0.11,0,0,0.16,0.12,0.43,0.16,0.01,0,0
8,196,0.04,0,0,0.09,0.11,0.23,0.17,0.05,0.3,0
5,197,0,0.01,0,0,0.02,0.9,0,0.02,0.03,0
5,198,0.16,0.02,0,0,0,0.67,0.08,0.06,0,0
7,199,0.04,0,0,0.01,0.1,0.3,0,0.53,0,0
9,200,0,0,0,0,0,0,0,0,0,0.99
1,201,0,0.91,0,0.08,0.01,0,0,0,0,0
5,202,0,0,0,0.12,0,0.69,0,0.2,0,0
0,203,0.32,0.01,0,0,0.11,0.32,0.07,0.04,0.12,0
0,204,0.8,0.02,0,0,0,0,0,0.18,0,0
8,205,0,0,0,0,0,0.08,0,0.19,0.5,0.22
0,206,0.71,0,0,0.04,0.09,0.14,0,0.02,0,0
3,207,0.04,0,0,0.67,0.09,0.17,0,0.01,0.01,0
9,208,0.02,0.31,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.37
0,209,0.31,0.09,0,0,0,0.3,0.28,0,0,0.03
5,210,0.01,0,0,0,0.05,0.79,0,0.15,0,0
5,211,0,0,0,0,0,0.9,0,0.1,0,0
8,212,0.01,0,0,0,0.27,0,0,0,0.7,0
8,213,0,0.31,0,0,0,0,0,0,0.5,0.19
7,214,0.03,0,0,0.28,0.05,0.1,0.01,0.43,0.09,0
7,215,0,0,0,0,0,0.36,0,0.64,0,0
7,216,0,0,0,0,0,0.03,0,0.97,0,0
5,217,0.05,0,0,0,0.15,0.65,0.02,0.13,0,0
4,218,0,0,0,0,0.69,0,0,0.3,0,0
5,219,0.18,0,0,0.01,0.14,0.6,0.01,0.05,0,0
5,220,0.07,0,0,0,0.02,0.69,0,0.21,0,0
5,221,0.01,0,0,0,0.02,0.86,0,0.09,0.02,0
7,222,0,0.01,0,0,0.04,0.28,0,0.64,0.02,0
6,223,0,0.05,0.01,0.12,0,0,0.82,0,0,0
8,224,0,0,0,0.02,0.2,0,0,0,0.78,0
6,225,0.13,0.06,0,0.03,0.03,0,0.74,0,0.01,0
5,226,0.03,0.02,0,0.01,0,0.36,0.15,0.17,0.26,0
9,227,0,0,0,0,0,0,0,0,0,1.0
8,228,0,0,0,0,0,0,0,0,1.0,0
3,229,0,0,0,0.99,0,0,0,0,0,0
7,230,0,0,0,0,0,0.45,0,0.55,0,0
4,231,0.02,0,0,0,0.4,0.33,0.24,0,0,0
4,232,0.1,0.03,0,0.02,0.79,0,0,0,0.04,0.02
