
                 1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17          18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37  \
count  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.00000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000   
mean      0.003137     0.008841     0.002036     0.122613     0.144911     0.006128     0.000042     0.009963     0.001327     0.015714     0.014774     0.000603     0.066180     0.009087     0.003547     0.011175     0.007057     0.00383     0.007078     0.012329     0.040252     0.058730     0.048284     0.000976     0.002875     0.004837     0.030163     0.023410     0.008725     0.002560     0.002817     0.003484     0.008431     0.006590     0.029050     0.001359     0.003132   
std       0.045619     0.050015     0.035011     0.200913     0.221065     0.061028     0.001620     0.063720     0.032036     0.095696     0.087474     0.022495     0.128106     0.094055     0.033474     0.053995     0.061366     0.04183     0.049310     0.084507     0.125808     0.138167     0.136144     0.024835     0.037193     0.045863     0.099326     0.124313     0.059028     0.037801     0.037589     0.039958     0.047198     0.051999     0.082354     0.029382     0.039563   
min       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.00000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000   
25%       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.00000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000   
50%       0.000000     0.000000     0.000000     0.000000     0.040000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.00000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000   
75%       0.000000     0.000000     0.000000     0.170000     0.200000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.070000     0.000000     0.000000     0.000000     0.000000     0.00000     0.000000     0.000000     0.010000     0.040000     0.020000     0.000000     0.000000     0.000000     0.010000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.010000     0.000000     0.000000   
max       1.000000     0.990000     0.930000     0.940000     1.000000     0.990000     0.070000     1.000000     1.000000     1.000000     1.000000     0.980000     0.840000     1.000000     0.780000     1.000000     1.000000     0.99000     1.000000     1.000000     1.000000     0.940000     0.980000     1.000000     1.000000     1.000000     0.990000     1.000000     0.970000     1.000000     1.000000     1.000000     1.000000     0.970000     0.820000     1.000000     0.970000   

                38           39           40           41           42           43           44           45           46           47           48           49           50  
count  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  1906.000000  
mean      0.001532     0.005939     0.004512     0.026002     0.007555     0.008253     0.063337     0.047812     0.010871     0.053893     0.008478     0.001810     0.002314  
std       0.032821     0.051507     0.057376     0.118551     0.070206     0.050176     0.116338     0.124020     0.058353     0.199520     0.067901     0.029509     0.034443  
min       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000  
25%       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000  
50%       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000  
75%       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.070000     0.020000     0.000000     0.000000     0.000000     0.000000     0.000000  
max       1.000000     1.000000     1.000000     1.000000     1.000000     0.840000     0.790000     0.900000     1.000000     1.000000     1.000000     1.000000     1.000000  
