text
cause mfers broke lol. For reason smh
lol need change talkin bout mine
yup I
wassup bro
Shit
Charlene Anthony Hamilton
Goals
Somebody FT
Get Rich die trying I swear
Niggas still trappin b
At end things favor I've blessed I've taken lot granted
Talking bad bout yo ex look bitter af
Broke hoes worse broke niggas I swear
Drake way artist meek talk real nigga two different categories lol. Meek real street nigga
You couldn't pay beyonce concert wit dem gay ass niggas

Doing
I lot niggas snitching I'm still gambling
Save dem 1's 5's rainy days
hell naw I ain't going ion feel lol
gotta buy tickets there?
goin wit
When spot cut ya door
I lol I whatever tf I
Every God shows I shouldn't waste hoes.
I give atleast mil wear dress
Baby tell ion surprises
Tryna anyway I I'm tryna finger fuck da Bandz
fwwwmmmm lol
send way find lol
I won't complete I find white girl
lol crybaby
Ok.. And?
I understand niggas sell drugs scam amount money niggas regular jobs
Gotta argue strippers Twitter smh
goodmusicfridays
Wiz stripper trap Kanye married baby amateur porn star ....
Niggas beefing Twitter gay Idc rich broke are. Just pull fight shoot e/o. Case closed
It's crazy close somebody unexpectedly time.
I've loved I love.
RIP Mike pistol P
considerate
If pussy put nigga sleep atleast ahead I tell girl I'm staying homie crib
I wish I could change taste women
Damn I Waffle House
Idk I meet women I try speak em I'm club bars etc
Nothing worse waisted
Dumbass nigga tried run almost biggest fuck NFL history
Hell yeah yeah
Ton Brady GOAT
I'm ready wedding I even gf

My life..
Me ex hoe
You're matters
Can't possibly expect someone friend
Nigga act streak break lol
You chasing money pussy
bet
nigga Wya
Yall niggas really running niggas tryna take pictures?!?! Idc famous
ain't worth
That's old call p.o

RIP Craigory Burch
I I fucked many times
1. I'm aware that. 2. Despite way I portray I highly educated
I retweet sex
You gay
Imma paid regardless.
Yo I remember I deep w| someone
yeah EVER ask ex talking
gotta remember everybody wasn't raised
Chick fil
fuckkkkkkkin sad bro
Tonight rough
I've able express completely person whole
2016goodvibesonly
I'm

Kevin washed
Steph curry dribble Kyrie
Derrick Rose Boobie miles Jimmy Butler nigga drawing Nike shit cleats
Good fuckin D JR smith
likely yeah sure I ain't gotta pay shit lol
lol already bro inspire
I die everytime I see
boy Q extra professional
I see reason anybody broke lol
One thang I money shit Gotta yo ass
Buying drop top shit summer
LUCKY TICKET? Our boss promises split $1.3 billion Powerball prize everyone RTs this!
And I hate nigga talk cheap
Pretty much
Is weird vampires blood heart doesn't beat? Where blood going
Positive thoughts only.
Damn really pulled gun end
Born broke Imma die rich
Falling choice. To stay
That would I met God cuz niggas would kill
Jus read sum shit 5 niggas drew dude girl told walk away gang raped park
K
To real fake
suckhisdickfornoreason2016
mood forever
I hate pple
lmao straight
Yea das prolly grand floor
aye nigga
I'm straight anything involve gettin money. Ion wanna kick
I can't deal sensitive
Don't fight ladies. Let nature run course.
Rt If You Agree...
Realest nigga
Broke joke I laughed minute
Why bitches feel giving nigga pussy equivalent giving money
I dat spending shit lol
Maybe I sleep I'll wake moves
I callin shit
bruh
FT anyone??
Dis nigga thug gay fr wtf
Need Barnes nobles tomorrow
Fuckin drug dealers taking bitches
U dat ugly
I'm attracted bitches wit big tits ass
Rihanna sexiest bitch game I dat hoe
I lying dick opposite way. Nope nope fuck
Don't bitch da club wit jean shorts

I adventurous gf
asking ain't seen forever
moved?
Don't use conversation they're giving pussy someone else
Kacey money gone pay brothers I ain't even gotta that's something
that's yo ass single
Damn I abt txt U lol
I give explanation used MUGSHOT ANOTHER BLACK MAN KILLED BY POLICE
Saved last night Imma hold dat
I need drive
All y'all niggas wanna rich y'all club wit Dese broke ass niggas bitches y'all count
I def supposed Vegas tonight
This interview dying part random Pimp C giving game clowns
bruh
lmao I
pray
If smoke weed eventually pregnant start using cocaine heroine
I said I I'm lol
I sex midnight
If club move tonight Imma house
Ion shit cracker
Wow.
Haley sum bullshit
Wanna fuck wit dis ball ain't nothing anybody
I do?!
hell girl
I broke cause commented scamming nigga video asking gotta
One thing I Dese bitches em ya em
bed w yo nigga &amp; wake
That interviewer kept questioning rapper Webbie seizures Webbie snapped
That felt really
Deleted petty ass shit Ig Twitter. I smoke weed anymore I trap anymore need portray
Y'all niggas sum gay ass shit
I'm tryna elope wit somebody daughter
I 20 times
need hurry lol
I trying hardest actually chicks I can't
I take care girl
I expect shit nobody. I fucked situation I ain't calling nobody I'll
Dat young nigga lit
nigga sleep
All Louis Vuitton yeah dey burgundy
I really care I'm glad I'm outta prison
I ain't hoes atleast I'm healthy
Dead
My lil brother woke 3am grabbed presents downstairs took upstairs room opened
merry Christmas sis I
Grateful home year. Merry Christmas
I slipped today won't happen
I wanna put 3.5 In blunt sleep probation shit killing
Got lot lineups ready tomorrow. Million dollar prize pool $25 entry I neeeeedddddd it!!!!!
I trypophobia mfer
Meet half way
I used hate dis girl used sing damn tynisha Keli song talm bout wished I loved dramatic ass
I playing wit dem girls I gone right
Shit used funny niggas would buy grams $40 dey could ask 3.5 lol
You rather give 1 nigga 100 chances give 100 niggas 1 chance?

That 1st sex fye lol
Been Rolley step ya wrist game lol
what's Ohio
Out driving around closed I'm hungry af
bitch extra lucky
da flash right dis hoe face topping lol
lmao Dese hoes forget quick
QTNA
How tf nigga lame. Bitch sucked dick 1st I met cuz I'm piped &amp; I money. I'll hit wit yo nigga
Who df retweeting dis gay ass shit
niggas cheat
Just cause I squirt give right crazy ass bitch
She's using determination bad ways psycho could feeding kids something
This crazy bitch scaring lol
I'm ugly sexy
I ain't plans wasssup
Westbrook
When pull weedman gotta sure ain't Bullshit
I wouldn't I I ain't fuckin trap
I look yo avi tell bitch ass nigga I argue wit hoes
I GET MONEYYYY
Niggas used beat high school arguing Twitter
I'll fuck wit y'all lame af lol
I shoulda said fuck playing football high school I nigga dreams. I could Norte dame Dartmouth ACT score
