class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20NN,1,0.12,0,0,0.05,0,0,0,0,0.02,0.7,0.08,0,0,0.01,0,0,0,0,0,0
NN,2,0,0,0,0,0,0,0,0.04,0.01,0.82,0.03,0,0,0,0,0,0.02,0.07,0,0
N,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,4,0,0.03,0,0.25,0,0.01,0.02,0.36,0,0,0,0,0,0,0,0,0,0,0.31,0
N,5,0.65,0,0,0.04,0,0,0,0,0,0.06,0.08,0,0.05,0.1,0,0,0,0,0,0
NN,6,0,0,0,0,0,0,0,0,0.04,0.94,0,0,0,0,0,0,0,0,0,0
NN,7,0.2,0,0,0.02,0,0,0,0.01,0.06,0.54,0.02,0,0.15,0,0,0,0,0,0,0
N,8,0.85,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
NN,9,0.09,0.34,0,0,0.03,0,0,0,0,0.04,0.11,0,0,0.03,0,0,0,0.35,0,0
NN,10,0.18,0.05,0,0.01,0,0.01,0,0.01,0.04,0.28,0.2,0.05,0.15,0,0,0,0,0,0,0
NN,11,0.27,0,0,0,0,0,0,0,0.07,0.21,0.31,0.12,0,0,0,0,0,0,0,0
NN,12,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.96,0
NN,13,0.22,0.04,0,0.14,0,0,0,0.03,0.02,0,0.48,0.02,0,0,0,0,0.01,0,0,0
NN,14,0,0,0.12,0,0,0,0,0,0.04,0.82,0,0,0,0,0,0,0,0,0,0
NN,15,0,0.03,0,0.32,0,0,0.15,0.46,0.02,0,0,0,0,0,0,0,0,0,0,0
NN,16,0.28,0,0.58,0,0,0,0,0,0.07,0,0.04,0,0,0,0,0,0,0.01,0,0
NN,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
NN,18,0,0,0.04,0,0,0,0,0,0.1,0,0.15,0.08,0.46,0.07,0,0.09,0,0,0,0
NN,19,0.14,0,0.72,0,0,0.02,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0
N,20,0.72,0,0,0.03,0,0,0,0,0.07,0.08,0.07,0,0.01,0,0,0,0,0,0,0
N,21,0.6,0,0,0.07,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0
N,22,0.87,0,0,0.01,0,0,0,0,0,0,0.09,0.01,0,0,0,0,0,0,0,0
N,23,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,24,0.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
NN,25,0,0.52,0.42,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.01,0,0
NN,26,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0
NN,27,0.05,0.58,0,0.07,0,0,0.03,0.05,0,0.18,0.02,0,0,0,0,0,0,0,0,0
N,28,0.79,0,0.12,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0
N,29,0.77,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0
NN,30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01
N,31,0.7,0.02,0,0.04,0,0,0,0,0.04,0.09,0.05,0.02,0.04,0,0,0,0,0,0,0
N,32,0.82,0,0,0.01,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0
NN,33,0,0.06,0,0,0,0,0.11,0.13,0.07,0,0,0.63,0,0,0,0,0,0,0,0
NN,34,0,0.02,0.04,0.06,0.06,0,0,0.1,0,0,0.59,0,0,0.06,0,0,0,0.04,0.01,0
NN,35,0,0.17,0,0.12,0,0,0.05,0.14,0.12,0.29,0.01,0.04,0.05,0,0,0,0,0,0,0
NN,36,0,0.03,0,0.3,0,0,0.02,0.14,0,0.02,0.17,0.13,0,0.19,0,0,0,0,0,0
NN,37,0.23,0,0.03,0,0,0,0,0,0.25,0.19,0.04,0.26,0,0,0,0,0,0,0,0
NN,38,0,0,0,0.03,0,0,0,0.64,0.12,0.02,0.06,0,0.01,0.02,0,0.02,0,0.05,0,0
N,39,0.36,0,0.04,0.02,0,0,0,0,0,0,0.54,0.02,0,0,0,0,0,0,0,0
NN,40,0,0,0,0.13,0,0,0,0.07,0,0,0.41,0.13,0,0.25,0,0,0,0,0,0
NN,41,0.28,0,0,0,0,0,0,0,0.08,0.22,0.41,0,0,0,0,0,0,0,0,0
NN,42,0,0.07,0,0,0,0,0.02,0.15,0.28,0.15,0.17,0.05,0,0.07,0,0,0.02,0,0,0
NN,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
NN,44,0,0.07,0,0,0,0,0.08,0.13,0,0,0,0,0,0,0,0,0,0,0.71,0
N,45,0.46,0,0.28,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
N,46,0.48,0.02,0.04,0.04,0,0,0,0.13,0,0.03,0.12,0.03,0,0.1,0,0,0,0,0,0
NN,47,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.97,0,0
N,48,0.69,0,0,0,0,0,0,0,0.09,0.16,0,0.02,0.02,0,0,0,0,0,0,0
N,49,0.34,0.01,0.03,0.02,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
NN,50,0,0.03,0,0.15,0,0.01,0,0.12,0.07,0.17,0.39,0.02,0,0,0,0,0,0,0,0
N,51,0.82,0,0,0,0,0,0,0,0.03,0.03,0.07,0.05,0,0,0,0,0,0,0,0
N,52,0.96,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
NN,53,0.14,0.09,0.07,0,0,0,0.01,0,0,0.03,0.61,0.06,0,0,0,0,0,0,0,0
N,54,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,55,0.98,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
N,56,0.33,0,0,0,0,0,0,0,0,0.01,0.59,0,0,0.05,0,0,0,0,0,0
NN,57,0.29,0,0.03,0,0,0,0,0,0.14,0,0.26,0.16,0,0.01,0,0,0,0.1,0,0
NN,58,0.11,0,0,0.02,0,0,0,0.03,0,0,0.84,0,0,0,0,0,0,0,0,0
NN,59,0.24,0,0.03,0.01,0,0,0,0,0.64,0,0.06,0,0,0,0,0,0,0,0,0
N,60,0.97,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
N,61,0.71,0,0,0.02,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.02,0,0
NN,62,0,0.04,0.07,0,0,0.03,0,0.05,0.04,0.15,0.05,0.16,0.01,0.16,0,0,0.23,0,0,0
NN,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
N,64,0.85,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,65,0.01,0,0,0,0,0,0,0,0.02,0.06,0.55,0.04,0,0.32,0,0,0,0,0,0
NN,66,0.29,0,0.47,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0.02,0,0,0
N,67,0.93,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
N,68,0.6,0,0,0.22,0,0,0,0,0.05,0,0.09,0,0,0,0,0,0,0.02,0,0
NN,69,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.94,0,0,0,0,0,0
NN,70,0.04,0,0.03,0,0,0,0,0.11,0,0.12,0.08,0.06,0,0.04,0,0,0,0.02,0.5,0
NN,71,0,0.02,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,72,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03
NN,73,0,0.57,0,0,0,0,0.24,0.11,0,0,0,0,0.03,0.02,0,0,0,0,0,0
N,74,0.75,0,0,0,0,0,0,0,0.21,0,0,0.03,0,0,0,0,0,0,0,0
N,75,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,76,0.35,0.21,0.26,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.01
N,77,0.9,0,0,0.01,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0
N,78,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,79,0.88,0,0,0,0,0,0,0,0.03,0,0.09,0,0,0,0,0,0,0,0,0
NN,80,0,0.2,0,0,0,0,0.06,0.36,0.03,0.01,0.04,0.28,0,0,0,0,0.01,0.01,0,0
NN,81,0,0,0,0,0.26,0,0.05,0.44,0,0,0,0,0,0,0,0,0.23,0,0,0
N,82,0.43,0,0.2,0.02,0,0,0,0,0.21,0.03,0.1,0,0,0,0,0,0,0,0,0
