class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
NN,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.87,0,0,0,0.01,0.03,0,0.01,0,0,0,0.03,0,0,0
N,52,0,0,0,0.11,0,0,0,0,0.01,0,0,0,0,0,0,0.56,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0
NN,53,0,0,0,0.63,0,0,0,0.1,0.1,0.01,0,0,0,0,0,0.06,0.05,0,0,0,0,0,0,0,0,0,0.02,0,0,0
NN,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,55,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
NN,56,0,0,0.08,0.25,0.42,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0,0,0.13,0,0,0,0,0,0,0.03,0,0,0
NN,57,0,0.01,0.5,0,0,0,0,0,0.13,0,0,0,0,0.02,0,0.24,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0
NN,58,0,0,0.38,0.05,0.25,0,0,0,0,0,0,0,0,0,0,0.21,0.04,0,0,0,0,0,0,0,0.07,0,0,0,0,0
NN,59,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0
N,61,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.75,0.17,0,0,0,0,0.01,0,0,0,0
NN,62,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0.07,0,0,0.03,0.01,0,0,0.03,0,0.6,0,0.12,0,0,0.06,0,0
NN,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
N,64,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.29,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
NN,65,0,0,0.09,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.06,0,0.05,0.16,0,0
NN,66,0,0,0.52,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
