02125gnlb, 0.0,0.0,0.0
02633gnlc, 0.0,0.0,0.0
03051trdc, 0.0,0.0,0.0
0313sexy_kento, 32.0,0.0,32.0
03855trdb, 0.0,0.0,0.0
03872trdb, 0.0,0.0,0.0
04864lktb, 0.0,0.0,0.0
04927lktb, 0.0,0.0,0.0
05405lktb, 0.0,0.0,0.0
07307jcsc, 0.0,0.0,0.0
100k_Trey, -113.0,-132.0,19.0
26102stwa, 0.0,0.0,0.0
26521stwb, 0.0,0.0,0.0
83826slhd, 0.0,0.0,0.0
a2lettsome, 2.0,0.0,2.0
abdogmy1, 17.0,-49.0,66.0
agilista_me, 405.0,-221.0,626.0
AliGaberAli, 0.0,0.0,0.0
Alrushaidat, 51.0,-22.0,73.0
AmandaTaylor08, 634.0,-307.0,941.0
amndlno, 24.0,-12.0,36.0
AndrewBunbury, -8.0,-404.0,396.0
Ank_yuma1209, 0.0,0.0,0.0
anyaxamor, -17320.0,-17320.0,0.0
AREONE27, -9.0,-116.0,107.0
asdfgkxjd1, 0.0,0.0,0.0
Ashi1Li, 1664.0,-1642.0,3306.0
atah_ovagob91, 5.0,0.0,5.0
AustinTodd11, 1156.0,-296.0,1452.0
awaljani4, 0.0,0.0,0.0
BarackObama_top, 797.0,-1273.0,2070.0
barbieriqkdwane, 6194.0,-518.0,6712.0
bekkysabasaba, 0.0,0.0,0.0
BIGBaller___, -1488.0,-3138.0,1650.0
bricalver, 1702.0,-1554.0,3256.0
brilicarixx, 16.0,-86.0,102.0
brk_news_now, -895.0,-2415.0,1520.0
brownieji, 356.0,-1153.0,1509.0
butl31006, 0.0,0.0,0.0
caltommyhood, 32.0,-4.0,36.0
Cecilia_VS_444, 0.0,0.0,0.0
CelineDionFans2, 3034.0,-619.0,3653.0
charleybear7, 1424.0,-719.0,2143.0
chloeebennett22, 1249.0,-1229.0,2478.0
cjmyxhe, 0.0,0.0,0.0
classi4u, 4266.0,-175.0,4441.0
ColsAndrea20, 108.0,-165.0,273.0
conqasport, 478.0,-49.0,527.0
cramerreece, 343.0,-361.0,704.0
csickem4, 219.0,-233.0,452.0
ctrlaubrey, -52.0,-122.0,70.0
daymyanroberta, 22.0,-4.0,26.0
Delossantosccp, -1579.0,-3041.0,1462.0
demihomo, 23.0,-103.0,126.0
DestinoDaGod, -25.0,-101.0,76.0
djsdrive, -550.0,-629.0,79.0
dmfa20871, 0.0,0.0,0.0
dmfa20915, 0.0,0.0,0.0
dohahamad6, 0.0,0.0,0.0
doili_tv, -17.0,-17.0,0.0
Dwainvdw, 6.0,-13.0,19.0
edwinhe70948041, -392.0,-858.0,466.0
