eyes, 3309
picture, 3306
work, 3297
games, 3295
red, 3288
wasn't, 3282
drunk, 3265
different, 3257
matter, 3250
words, 3249
honestly, 3249
live, 3246
esta, 3241
facebook, 3230
trust, 3228
bit, 3227
off, 3204
second, 3197
future, 3196
quiero, 3189
walk, 3180
follow, 3178
wake, 3169
close, 3163
seeing, 3162
body, 3158
took, 3152
alone, 3146
drink, 3132
where, 3131
sunday, 3126
heard, 3109
happen, 3106
young, 3104
wonder, 3079
side, 3079
feels, 3074
book, 3067
started, 3060
lose, 3056
sounds, 3049
worth, 3048
bout, 3033
post, 3025
ada, 3025
wear, 3014
want, 3008
mine, 3008
kid, 3006
pero, 3005
posted, 2999
cry, 2998
kill, 2997
these, 2986
less, 2986
kinda, 2976
swear, 2974
state, 2965
chance, 2958
fight, 2955
you've, 2946
lets, 2928
parents, 2926
goals, 2926
about, 2925
woman, 2923
hurt, 2906
bitches, 2906
men, 2904
ppl, 2902
date, 2897
music, 2877
final, 2874
glad, 2861
lil, 2858
send, 2857
thats, 2856
tak, 2842
nobody, 2837
water, 2826
mufc, 2823
drive, 2814
feelings, 2811
dream, 2806
pay, 2803
either, 2799
mood, 2796
him, 2794
beat, 2776
you'll, 2764
everything, 2764
easy, 2762
problem, 2752
aren't, 2745
vida, 2744
support, 2738
itu, 2737
outside, 2734
line, 2727
fast, 2719
instead, 2714
after, 2714
happened, 2712
who's, 2709
dear, 2706
definitely, 2704
proud, 2702
then, 2700
star, 2689
eating, 2689
fire, 2684
till, 2681
saturday, 2677
shot, 2672
our, 2672
goal, 2672
vote, 2669
straight, 2664
sweet, 2663
chill, 2662
weeks, 2646
yesterday, 2643
realize, 2631
important, 2621
her, 2616
welcome, 2614
everybody, 2610
race, 2609
pizza, 2609
coffee, 2608
month, 2593
somebody, 2587
power, 2584
fact, 2578
wouldn't, 2576
knew, 2575
club, 2572
hold, 2569
police, 2568
ill, 2563
knows, 2562
no, 2558
ugh, 2557
from, 2542
fucked, 2541
learn, 2523
sex, 2522
act, 2518
fine, 2515
deal, 2514
make, 2510
means, 2501
met, 2499
hay, 2495
